CASSR,Name,Type,Region,ONS Code,,,,,,
102,Cumbria,Shire Counties,NW,E10000006,,,,,,
104,Northumberland,Unitary Authorities,NE,E06000057,,,,,,
106,Gateshead,Metropolitan Districts,NE,E08000037,,,,,,
107,Newcastle upon Tyne,Metropolitan Districts,NE,E08000021,,,,,,
108,North Tyneside,Metropolitan Districts,NE,E08000022,,,,,,
109,South Tyneside,Metropolitan Districts,NE,E08000023,,,,,,
110,Sunderland,Metropolitan Districts,NE,E08000024,,,,,,
111,Hartlepool,Unitary Authorities,NE,E06000001,,,,,,
112,Middlesbrough,Unitary Authorities,NE,E06000002,,,,,,
113,Redcar and Cleveland,Unitary Authorities,NE,E06000003,,,,,,
114,Stockton on Tees,Unitary Authorities,NE,E06000004,,,,,,
116,Durham,Unitary Authorities,NE,E06000047,,,,,,
117,Darlington,Unitary Authorities,NE,E06000005,,,,,,
204,Barnsley,Metropolitan Districts,YH,E08000016,,,,,,
205,Doncaster,Metropolitan Districts,YH,E08000017,,,,,,
206,Rotherham,Metropolitan Districts,YH,E08000018,,,,,,
207,Sheffield,Metropolitan Districts,YH,E08000019,,,,,,
209,Bradford,Metropolitan Districts,YH,E08000032,,,,,,
210,Calderdale,Metropolitan Districts,YH,E08000033,,,,,,
211,Kirklees,Metropolitan Districts,YH,E08000034,,,,,,
212,Leeds,Metropolitan Districts,YH,E08000035,,,,,,
213,Wakefield,Metropolitan Districts,YH,E08000036,,,,,,
214,East Riding of Yorkshire,Unitary Authorities,YH,E06000011,,,,,,
215,Kingston upon Hull,Unitary Authorities,YH,E06000010,,,,,,
216,North East Lincolnshire,Unitary Authorities,YH,E06000012,,,,,,
217,North Lincolnshire,Unitary Authorities,YH,E06000013,,,,,,
218,North Yorkshire,Shire Counties,YH,E10000023,,,,,,
219,York,Unitary Authorities,YH,E06000014,,,,,,
304,Bolton,Metropolitan Districts,NW,E08000001,,,,,,
305,Bury,Metropolitan Districts,NW,E08000002,,,,,,
306,Manchester,Metropolitan Districts,NW,E08000003,,,,,,
307,Oldham,Metropolitan Districts,NW,E08000004,,,,,,
308,Rochdale,Metropolitan Districts,NW,E08000005,,,,,,
309,Salford,Metropolitan Districts,NW,E08000006,,,,,,
310,Stockport,Metropolitan Districts,NW,E08000007,,,,,,
311,Tameside,Metropolitan Districts,NW,E08000008,,,,,,
312,Trafford,Metropolitan Districts,NW,E08000009,,,,,,
313,Wigan,Metropolitan Districts,NW,E08000010,,,,,,
315,Knowsley,Metropolitan Districts,NW,E08000011,,,,,,
316,Liverpool,Metropolitan Districts,NW,E08000012,,,,,,
317,Sefton,Metropolitan Districts,NW,E08000014,,,,,,
318,St Helens,Metropolitan Districts,NW,E08000013,,,,,,
319,Wirral,Metropolitan Districts,NW,E08000015,,,,,,
321,Halton,Unitary Authorities,NW,E06000006,,,,,,
322,Warrington,Unitary Authorities,NW,E06000007,,,,,,
323,Lancashire,Shire Counties,NW,E10000017,,,,,,
324,Blackburn with Darwen,Unitary Authorities,NW,E06000008,,,,,,
325,Blackpool,Unitary Authorities,NW,E06000009,,,,,,
326,Cheshire East,Unitary Authorities,NW,E06000049,,,,,,
327,Cheshire West and Chester,Unitary Authorities,NW,E06000050,,,,,,
404,Warwickshire,Shire Counties,WM,E10000031,,,,,,
406,Birmingham,Metropolitan Districts,WM,E08000025,,,,,,
407,Coventry,Metropolitan Districts,WM,E08000026,,,,,,
408,Dudley,Metropolitan Districts,WM,E08000027,,,,,,
409,Sandwell,Metropolitan Districts,WM,E08000028,,,,,,
410,Solihull,Metropolitan Districts,WM,E08000029,,,,,,
411,Walsall,Metropolitan Districts,WM,E08000030,,,,,,
412,Wolverhampton,Metropolitan Districts,WM,E08000031,,,,,,
413,Staffordshire,Shire Counties,WM,E10000028,,,,,,
414,Stoke on Trent,Unitary Authorities,WM,E06000021,,,,,,
415,Herefordshire,Unitary Authorities,WM,E06000019,,,,,,
416,Worcestershire,Shire Counties,WM,E10000034,,,,,,
417,Shropshire,Unitary Authorities,WM,E06000051,,,,,,
418,Telford and the Wrekin,Unitary Authorities,WM,E06000020,,,,,,
503,Lincolnshire,Shire Counties,EM,E10000019,,,,,,
504,Northamptonshire,Shire Counties,EM,E10000021,,,,,,
